省份,城市,站点,经度,纬度
河北省       ,沧州市       ,黄骅财政局培训中心(*)                                      ,117.337,38.377
河北省       ,沧州市       ,河间市交通局(*)                                         ,116.113,38.438
河北省       ,任丘市       ,任丘华油八处                                            ,116.119,38.737
河北省       ,衡水市       ,衡水市环保局                                            ,115.69,37.739
河北省       ,衡水市       ,环境监测站                                             ,115.643,37.738
河北省       ,衡水市       ,电机北厂                                              ,115.695,37.758
河北省       ,衡水市       ,枣强县环保局(*)                                         ,115.709,37.52
河北省       ,衡水市       ,武邑县环保局(*)                                         ,115.893,37.801
河北省       ,衡水市       ,饶阳县环保局(*)                                         ,115.735,38.23
河北省       ,衡水市       ,安平县环保局(*)                                         ,115.532,38.238
河北省       ,衡水市       ,故城县县政府(*)                                         ,115.961,37.347
河北省       ,衡水市       ,阜城县法院(*)                                          ,116.174,37.866
河北省       ,衡水市       ,冀州环保局(*)                                          ,115.581,37.548
河北省       ,衡水市       ,深州市政府(*)                                          ,115.559,38.0
河北省       ,景县        ,景县县委                                              ,116.269,37.692
河北省       ,邢台市       ,路桥公司                                              ,114.533,37.096
河北省       ,邢台市       ,达活泉                                               ,114.482,37.097
河北省       ,邢台市       ,邢师高专                                              ,114.526,37.053
河北省       ,邢台市       ,环保局                                               ,114.485,37.062
河北省       ,邢台市       ,临城县环保局(*)                                         ,114.514,37.441
河北省       ,邢台市       ,柏乡县中学(*)                                          ,114.7,37.488
河北省       ,邢台市       ,隆尧县环保局(*)                                         ,114.752,37.354
河北省       ,邢台市       ,任县青少年文化活动中心(*)                                    ,114.667,37.121
河北省       ,邢台市       ,南和县环保局(*)                                         ,114.681,37.021
河北省       ,邢台市       ,巨鹿行政服务中心(*)                                       ,115.03,37.234
河北省       ,邢台市       ,新河县环保局(*)                                         ,115.242,37.522
河北省       ,邢台市       ,广宗县计划生育局(*)                                       ,115.133,37.074
河北省       ,邢台市       ,平乡县行政服务中心(*)                                      ,115.029,37.063
河北省       ,邢台市       ,威县第一中学(*)                                         ,115.264,36.99
河北省       ,邢台市       ,清河县青少年活动中心(*)                                     ,115.678,37.078
河北省       ,邢台市       ,临西县政府(*)                                          ,115.501,36.871
河北省       ,邢台市       ,南宫市地税局(*)                                         ,115.412,37.364
河北省       ,邢台市       ,沙河宣传文化中心(*)                                       ,114.51,36.861
河北省       ,宁晋县       ,宁晋县政府                                             ,114.918,37.62
河北省       ,邯郸市       ,丛台公园                                              ,114.496,36.62
河北省       ,邯郸市       ,市环保局                                              ,114.513,36.618
河北省       ,邯郸市       ,东污水                                               ,114.543,36.616
河北省       ,邯郸市       ,矿院                                                ,114.504,36.578
河北省       ,邯郸市       ,峰峰矿区地税局(*)                                        ,114.24,36.423
河北省       ,邯郸市       ,临漳县三中(*)                                          ,114.601,36.33
河北省       ,邯郸市       ,成安县网通公司(*)                                        ,114.671,36.44
河北省       ,邯郸市       ,大名县大名一中(*)                                        ,115.154,36.291
河北省       ,邯郸市       ,涉县监测站(*)                                          ,113.686,36.589
河北省       ,邯郸市       ,磁县职教中心(*)                                         ,114.384,36.38
河北省       ,邯郸市       ,肥乡工商行政管理局(*)                                      ,114.788,36.549
河北省       ,邯郸市       ,永年政府宾馆(*)                                         ,114.497,36.783
河北省       ,邯郸市       ,邱县政府(*)                                           ,115.181,36.811
河北省       ,邯郸市       ,广平县一中(*)                                          ,114.952,36.482
河北省       ,邯郸市       ,馆陶县永济路小学(*)                                       ,115.3,36.541
河北省       ,邯郸市       ,曲周县武装部(*)                                         ,114.951,36.785
河北省       ,邯郸市       ,武安高开区(*)                                          ,114.263,36.686
河北省       ,魏县        ,魏县第三中学                                            ,114.926,36.347
河北省       ,石家庄市      ,市区世纪公园                                            ,114.542,38.031
河北省       ,石家庄市      ,井陉矿区区委大楼(*)                                       ,114.069,38.071
河北省       ,张家口市      ,尚义县环境保护局(*)                                       ,113.978,41.085
河北省       ,张家口市      ,蔚县第二中学(*)                                         ,114.596,39.846
河北省       ,张家口市      ,崇礼梦特芳丹酒店(*)                                       ,115.289,40.98
河北省       ,廊坊市       ,开发区                                               ,116.773,39.575
河北省       ,保定市       ,白沟新城行政中心楼(*)                                      ,116.029,39.109
河北省       ,保定市       ,易县环境保护局(*)                                        ,115.479,39.347
河北省       ,衡水市       ,武强县环保局(*)                                         ,115.954,38.035
河北省       ,邢台市       ,内丘文化活动中心(*)                                       ,114.519,37.293
河北省       ,邯郸市       ,鸡泽县环境保护局(*)                                       ,114.879,36.918
河北省       ,承德市       ,离宫(*)                                             ,117.938,41.011
